accel_var,true_values_var,model,r2,roughness
1e-12,2.1544346900318867e-10,10,-1.7946223685059977,0.5190284027198593
1e-12,2.1544346900318867e-10,11,-1.794622371384488,0.5144380706622048
1e-12,2.1544346900318867e-10,12,-1.7946223675875048,0.517129630352495
1e-12,2.1544346900318867e-10,13,-1.7946223728763258,0.5144320724255246
1e-12,2.1544346900318867e-10,14,-1.7946223721285417,0.5156077421492159
1e-12,8.254041852680207e-10,0,-1.856003422906042,0.4745908714520689
1e-12,8.254041852680207e-10,1,-1.8560034344962948,0.47460142294009305
1e-12,8.254041852680207e-10,2,-1.8560034351348276,0.47830474921685096
1e-12,8.254041852680207e-10,3,-1.8560034362453819,0.4752400173867377
1e-12,8.254041852680207e-10,4,-1.8560034352370178,0.47510405191876914
1e-12,8.254041852680207e-10,5,-1.856003450087857,0.47228091957034063
1e-12,8.254041852680207e-10,6,-1.8560034275421953,0.47551286642998675
1e-12,8.254041852680207e-10,7,-1.8560034373866512,0.4740945644187819
1e-12,8.254041852680207e-10,8,-1.8560034495244233,0.47646332482897513
1e-12,8.254041852680207e-10,9,-1.856003450472993,0.4710273061103149
1e-12,8.254041852680207e-10,10,-1.85600342311298,0.4780517803292134
1e-12,8.254041852680207e-10,11,-1.8560034355725707,0.4733189585247581
1e-12,8.254041852680207e-10,12,-1.856003418395578,0.4759618349875521
1e-12,8.254041852680207e-10,13,-1.856003443249305,0.4730872230165835
1e-12,8.254041852680207e-10,14,-1.856003438301371,0.4744083202308062
1e-12,3.1622776601683795e-09,0,-2.14701345455147,0.4448645544253006
1e-12,3.1622776601683795e-09,1,-2.1470135145998044,0.4447211187195591
1e-12,3.1622776601683795e-09,2,-2.1470135197373774,0.44866249349697657
1e-12,3.1622776601683795e-09,3,-2.1470135226672515,0.4455467858609882
1e-12,3.1622776601683795e-09,4,-2.1470135297218937,0.4453925777527576
1e-12,3.1622776601683795e-09,5,-2.1470135911672266,0.44234397700589945
1e-12,3.1622776601683795e-09,6,-2.147013477628902,0.4457544375405058
1e-12,3.1622776601683795e-09,7,-2.1470135280670943,0.4442720637832201
1e-12,3.1622776601683795e-09,8,-2.147013585275197,0.4468336472194182
1e-12,3.1622776601683795e-09,9,-2.1470135911644284,0.44119601989757684
1e-12,3.1622776601683795e-09,10,-2.1470134623004014,0.44834774172236164
1e-12,3.1622776601683795e-09,11,-2.147013517012787,0.44349159479491473
1e-12,3.1622776601683795e-09,12,-2.147013436572062,0.4460675589007655
1e-12,3.1622776601683795e-09,13,-2.1470135605132876,0.4430447958909902
1e-12,3.1622776601683795e-09,14,-2.147013528363792,0.4444856291805597
1e-12,1.2115276586285901e-08,0,-2.7079825389290364,0.4125944710682893
1e-12,1.2115276586285901e-08,1,-2.707982832285734,0.412371693297573
1e-12,1.2115276586285901e-08,2,-2.707982871515115,0.4166121360448989
1e-12,1.2115276586285901e-08,3,-2.7079828836457898,0.4134294228769449
1e-12,1.2115276586285901e-08,4,-2.7079829344106883,0.4132145687809652
1e-12,1.2115276586285901e-08,5,-2.707983228375355,0.4100036029277415
1e-12,1.2115276586285901e-08,6,-2.7079826549385855,0.41349631119972885
1e-12,1.2115276586285901e-08,7,-2.707982915330538,0.412091158985208
1e-12,1.2115276586285901e-08,8,-2.7079831825103287,0.41479871802030865
1e-12,1.2115276586285901e-08,9,-2.7079832284543075,0.4089486916638945
1e-12,1.2115276586285901e-08,10,-2.707982596790532,0.41618348129384614
1e-12,1.2115276586285901e-08,11,-2.7079828535970134,0.41119472066525353
1e-12,1.2115276586285901e-08,12,-2.7079824746032,0.4137264202525565
1e-12,1.2115276586285901e-08,13,-2.7079830748190035,0.410650602324746
1e-12,1.2115276586285901e-08,14,-2.7079829137346145,0.41216198988063946
1e-12,4.641588833612782e-08,0,-3.3554988298066153,0.37370837181686845
1e-12,4.641588833612782e-08,1,-3.3555000949593428,0.3734905742412191
1e-12,4.641588833612782e-08,2,-3.3555002800837643,0.3780868462005406
1e-12,4.641588833612782e-08,3,-3.355500366515871,0.3748638842209548
1e-12,4.641588833612782e-08,4,-3.3555005007968344,0.3745322828440009
1e-12,4.641588833612782e-08,5,-3.3555019931027825,0.3712162942571778
1e-12,4.641588833612782e-08,6,-3.355499308559173,0.3746749970594387
1e-12,4.641588833612782e-08,7,-3.3555005403930025,0.3734869073526565
1e-12,4.641588833612782e-08,8,-3.355501717248763,0.3763009712767358
1e-12,4.641588833612782e-08,9,-3.3555020139449097,0.37025008225517575
1e-12,4.641588833612782e-08,10,-3.355499059577495,0.3775407535732033
1e-12,4.641588833612782e-08,11,-3.355500251120289,0.3723928322660694
1e-12,4.641588833612782e-08,12,-3.3554985388931584,0.3749123934721103
1e-12,4.641588833612782e-08,13,-3.3555012050844795,0.37187907492112365
1e-12,4.641588833612782e-08,14,-3.3555005868001526,0.3734203806238817
1e-12,1.7782794100389227e-07,0,-3.7968956115449126,0.33313129256696905
1e-12,1.7782794100389227e-07,1,-3.7969001402664526,0.3328011183903335
1e-12,1.7782794100389227e-07,2,-3.796900653045909,0.3377310497696874
1e-12,1.7782794100389227e-07,3,-3.7969011059304707,0.3344412490145669
1e-12,1.7782794100389227e-07,4,-3.7969010015249145,0.3339541857811607
1e-12,1.7782794100389227e-07,5,-3.796907858206932,0.33054569773661696
1e-12,1.7782794100389227e-07,6,-3.7968969030111674,0.33404926525629836
