accel_var,model,r2,roughness
1.2295426265956214e-12,12,-0.22186623769178682,0.08959046763256204
1.2295426265956214e-12,13,-0.30799154121280936,0.08404388139598942
1.2295426265956214e-12,14,-0.5258716072610368,0.08878991579023866
1.294730823078425e-12,0,-0.7725538077810767,0.09772604607586056
1.294730823078425e-12,1,-0.7369053756944142,0.0858283212291209
1.294730823078425e-12,2,-0.4120156592517774,0.09466064770746525
1.294730823078425e-12,3,-0.39413308768251154,0.08724526434210031
1.294730823078425e-12,4,-0.14198648715450668,0.0845051561374936
1.294730823078425e-12,5,-0.7392247973268664,0.08420670290005115
1.294730823078425e-12,6,-0.3853867361425467,0.09163118579358952
1.294730823078425e-12,7,-0.4621040470553479,0.08652916870673627
1.294730823078425e-12,8,-0.7857867169348405,0.09367113566425628
1.294730823078425e-12,9,-0.5844980982322714,0.07912201234359381
1.294730823078425e-12,10,-0.1607670131116674,0.08902764569533594
1.294730823078425e-12,11,-0.5612311334893321,0.08713964524367387
1.294730823078425e-12,12,-0.22152996795251978,0.08959573345162222
1.294730823078425e-12,13,-0.30778534353400544,0.08404692184220576
1.294730823078425e-12,14,-0.5256226670445054,0.08879386790647205
1.3633751835597446e-12,0,-0.7721984220345512,0.09773275801424743
1.3633751835597446e-12,1,-0.736529499416485,0.08583283162105766
1.3633751835597446e-12,2,-0.4117299343217229,0.09466534426856217
1.3633751835597446e-12,3,-0.39386304423473906,0.08724942783053512
1.3633751835597446e-12,4,-0.14174500770140597,0.08451007880668461
1.3633751835597446e-12,5,-0.7391268568635108,0.08421330277559533
1.3633751835597446e-12,6,-0.3851189426138186,0.09163645068940718
1.3633751835597446e-12,7,-0.4618791012342247,0.08653353388690932
1.3633751835597446e-12,8,-0.7856377157586314,0.09367676465727674
1.3633751835597446e-12,9,-0.5842527498388577,0.07912553618197185
1.3633751835597446e-12,10,-0.1603956564591278,0.0890329880168505
1.3633751835597446e-12,11,-0.5609492218316399,0.0871451371979557
1.3633751835597446e-12,12,-0.22117706600318843,0.08960127630980042
1.3633751835597446e-12,13,-0.30756871413360143,0.08405012313737703
1.3633751835597446e-12,14,-0.5253612528636336,0.08879802899993826
1.4356589478012107e-12,0,-0.7718259119981401,0.09773982401462417
1.4356589478012107e-12,1,-0.7361349748262374,0.08583758149328431
1.4356589478012107e-12,2,-0.41142999149598736,0.09467028815519019
1.4356589478012107e-12,3,-0.39357944018732893,0.08725381082779188
1.4356589478012107e-12,4,-0.14149143429602762,0.08451525994682606
1.4356589478012107e-12,5,-0.739024091958449,0.08422024728145827
1.4356589478012107e-12,6,-0.38483787398946734,0.09164199199757395
1.4356589478012107e-12,7,-0.4616428835576827,0.08653812872974971
1.4356589478012107e-12,8,-0.7854813419590696,0.09368268848214882
1.4356589478012107e-12,9,-0.5839949431598388,0.0791292463583377
1.4356589478012107e-12,10,-0.1600057352104889,0.08903861050906371
1.4356589478012107e-12,11,-0.5606532715010675,0.08715091895503123
1.4356589478012107e-12,12,-0.2208067734461603,0.08960711064012362
1.4356589478012107e-12,13,-0.3073411524757679,0.0840534937636971
1.4356589478012107e-12,14,-0.5250867790702736,0.08880241007851505
1.51177507061566e-12,0,-0.7714355450660082,0.09774726261369213
1.51177507061566e-12,1,-0.7357209458936096,0.0858425835524644
1.51177507061566e-12,2,-0.4111151736682601,0.09467549228261836
1.51177507061566e-12,3,-0.3932816356453517,0.08725842482789256
1.51177507061566e-12,4,-0.14122519971119174,0.08452071297919145
1.51177507061566e-12,5,-0.7389162853696623,0.08422755411994844
1.51177507061566e-12,6,-0.3845429219689289,0.09164782406472141
