accel_var,true_values_var,model,r2,roughness
3.8311868495572925e-12,3.1622776601683795e-09,2,0.9590470115474584,0.4450637399854866
3.8311868495572925e-12,1.2115276586285901e-08,0,0.9260897152681954,0.41735007643337285
3.8311868495572925e-12,1.2115276586285901e-08,1,0.9260897090193638,0.4174394236871335
3.8311868495572925e-12,1.2115276586285901e-08,2,0.9260897734842641,0.42195468466450603
3.8311868495572925e-12,4.641588833612782e-08,0,0.8771012978089976,0.3950567652827983
3.8311868495572925e-12,4.641588833612782e-08,1,0.8771000776743699,0.39513862923541704
3.8311868495572925e-12,4.641588833612782e-08,2,0.8771001146509566,0.39988118772449543
3.8311868495572925e-12,1.7782794100389227e-07,0,0.8115908756868423,0.36417386246404126
3.8311868495572925e-12,1.7782794100389227e-07,1,0.811580053566342,0.3643031332733903
3.8311868495572925e-12,1.7782794100389227e-07,2,0.8115787724201162,0.36939221568706326
3.8311868495572925e-12,6.812920690579622e-07,0,0.7269311134519648,0.3279109388367851
3.8311868495572925e-12,6.812920690579622e-07,1,0.7268688256169051,0.3280001154935324
3.8311868495572925e-12,6.812920690579622e-07,2,0.7268556325852368,0.3334157534846716
3.8311868495572925e-12,2.6101572156825386e-06,0,0.6164643243592589,0.29399987559811125
3.8311868495572925e-12,2.6101572156825386e-06,1,0.6162907753604507,0.29398368698362276
3.8311868495572925e-12,2.6101572156825386e-06,2,0.6162504397747286,0.2995920451777964
3.8311868495572925e-12,1e-05,0,0.48499838116329663,0.26587647664140407
3.8311868495572925e-12,1e-05,1,0.48485474531811135,0.2659198536599065
3.8311868495572925e-12,1e-05,2,0.48485273467886747,0.27167335697695244
3.8311868495572925e-12,3.831186849557293e-05,0,0.34195830920539705,0.24373462648126376
3.8311868495572925e-12,3.831186849557293e-05,1,0.3422690588119742,0.24386588980222587
3.8311868495572925e-12,3.831186849557293e-05,2,0.34246288152319315,0.2497063809922557
3.8311868495572925e-12,0.00014677992676220735,0,0.18463693486330068,0.22425094822775213
3.8311868495572925e-12,0.00014677992676220735,1,0.18619605120597016,0.2244304132442539
3.8311868495572925e-12,0.00014677992676220735,2,0.186790220841629,0.2302786794958259
3.8311868495572925e-12,0.0005623413251903491,0,0.023414136522925233,0.20484103607273627
3.8311868495572925e-12,0.0005623413251903491,1,0.028887600400800184,0.20545379709307712
3.8311868495572925e-12,0.0005623413251903491,2,0.030736209185050156,0.21150946407042145
3.8311868495572925e-12,0.002154434690031887,0,-0.1295547642173689,0.18411672563912126
3.8311868495572925e-12,0.002154434690031887,1,-0.11523732744986215,0.18563466683391397
3.8311868495572925e-12,0.002154434690031887,2,-0.11063587958930299,0.19243969613076425
3.8311868495572925e-12,0.008254041852680206,0,-0.29447900819984874,0.16030981147038195
3.8311868495572925e-12,0.008254041852680206,1,-0.2654217143321038,0.16091714471868104
3.8311868495572925e-12,0.008254041852680206,2,-0.25834301111014857,0.1696942898660409
3.8311868495572925e-12,0.03162277660168379,0,-0.5403838369823222,0.1403230074209539
3.8311868495572925e-12,0.03162277660168379,1,-0.5105271361488288,0.13596213320982536
3.8311868495572925e-12,0.03162277660168379,2,-0.508638737226051,0.14597857188368343
3.8311868495572925e-12,0.12115276586285902,0,-0.7983486393241268,0.13390696305035285
3.8311868495572925e-12,0.12115276586285902,1,-0.8507417604287661,0.12434446541386063
3.8311868495572925e-12,0.12115276586285902,2,-0.8875061034445144,0.13193929545374314
3.8311868495572925e-12,0.46415888336127914,0,-0.9150862630866885,0.1380951036649138
3.8311868495572925e-12,0.46415888336127914,1,-1.0579813918732883,0.12467491890198856
3.8311868495572925e-12,0.46415888336127914,2,-1.135496777883878,0.13173774519094353
3.8311868495572925e-12,1.7782794100389228,0,-0.9458891955562925,0.14209068267518035
3.8311868495572925e-12,1.7782794100389228,1,-1.124480621373031,0.1276922105918014
3.8311868495572925e-12,1.7782794100389228,2,-1.2088366130326396,0.13950111188590997
3.8311868495572925e-12,6.812920690579622,0,-0.9531918703104416,0.14370347214277157
3.8311868495572925e-12,6.812920690579622,1,-1.1418585258528582,0.12922811717025473
3.8311868495572925e-12,6.812920690579622,2,-1.2234109211284259,0.1447158489414798
