accel_var,model,r2,roughness
8.302175681319735e-12,1,-0.8223737241544293,0.12410774577491317
8.302175681319735e-12,2,-0.8930497037853751,0.13164125910877794
8.302175681319735e-12,3,-0.8234664497857811,0.12499768097534318
8.302175681319735e-12,4,-0.8265538147018763,0.12281820807437445
8.302175681319735e-12,5,-0.8545045115264045,0.12300809141776688
8.302175681319735e-12,6,-0.7986531845028058,0.12914364968667613
8.302175681319735e-12,7,-0.8579222881296928,0.1250629118198854
8.302175681319735e-12,8,-0.8394785972632002,0.13149777666943005
8.302175681319735e-12,9,-0.9302989263734427,0.1189064841226866
8.302175681319735e-12,10,-0.9674585142377063,0.1271555890685069
8.302175681319735e-12,11,-0.8006226661181035,0.12564705194272224
8.302175681319735e-12,12,-0.9125089505936488,0.12726289505690286
8.302175681319735e-12,13,-1.0089015072375451,0.12228070196876883
8.302175681319735e-12,14,-0.8374474419942468,0.12696742060707314
1.1233240329780266e-11,0,-0.7057667171335138,0.1345487855854406
1.1233240329780266e-11,1,-0.8174881457217105,0.12423567631856455
1.1233240329780266e-11,2,-0.8891246919889004,0.13177790404016837
1.1233240329780266e-11,3,-0.819984048764276,0.12511477646486294
1.1233240329780266e-11,4,-0.8222513207118314,0.12295588199888219
1.1233240329780266e-11,5,-0.849883890580005,0.1232159875596855
1.1233240329780266e-11,6,-0.7930382214175582,0.12929339276973112
1.1233240329780266e-11,7,-0.8538763422888034,0.12518987353976987
1.1233240329780266e-11,8,-0.8359466003168492,0.13166964820203705
1.1233240329780266e-11,9,-0.9286005945266962,0.11901616504336775
1.1233240329780266e-11,10,-0.9618702128026366,0.12730537363990063
1.1233240329780266e-11,11,-0.7964001738580597,0.12581104691915812
1.1233240329780266e-11,12,-0.9071979604773237,0.1274196008445557
1.1233240329780266e-11,13,-1.0060225503388556,0.12236773935676237
1.1233240329780266e-11,14,-0.8342847794745263,0.1270926279147679
1.519911082952933e-11,0,-0.6981542517592125,0.1348153473528616
1.519911082952933e-11,1,-0.8109595750096636,0.12440928531067698
1.519911082952933e-11,2,-0.8838029406154404,0.13195984274223338
1.519911082952933e-11,3,-0.8152824565878611,0.12527165420043046
1.519911082952933e-11,4,-0.816499488496319,0.12313864468788974
1.519911082952933e-11,5,-0.8437339455046899,0.12348820744457902
1.519911082952933e-11,6,-0.7856111882538268,0.1294919741024226
1.519911082952933e-11,7,-0.8484420242275592,0.12535902900513834
1.519911082952933e-11,8,-0.831155988934857,0.1318961882868681
1.519911082952933e-11,9,-0.9261885767041684,0.11916341266240008
1.519911082952933e-11,10,-0.9544269333428324,0.12750376670920774
1.519911082952933e-11,11,-0.7907275057682683,0.126027537128521
1.519911082952933e-11,12,-0.9000724011970038,0.12762735820397536
1.519911082952933e-11,13,-1.0020934976583113,0.12248549907414902
1.519911082952933e-11,14,-0.8299733380812391,0.1272605206876347
2.0565123083486514e-11,0,-0.6881656806518244,0.13516616539912707
2.0565123083486514e-11,1,-0.8022980368547585,0.12464277980958897
2.0565123083486514e-11,2,-0.8766258516580603,0.13219957608001828
2.0565123083486514e-11,3,-0.8089634506326941,0.12548008973077984
2.0565123083486514e-11,4,-0.8088586688608461,0.12337879008674557
2.0565123083486514e-11,5,-0.8356044356496366,0.12384091000980489
2.0565123083486514e-11,6,-0.7758739013343998,0.12975252388505445
2.0565123083486514e-11,7,-0.8411825892808362,0.12558238895863913
2.0565123083486514e-11,8,-0.8246853307012179,0.13219171939951133
2.0565123083486514e-11,9,-0.9227528184524607,0.11935995407326637
2.0565123083486514e-11,10,-0.9445873273222472,0.12776372756501847
2.0565123083486514e-11,11,-0.7831543449573086,0.12631038911108627
2.0565123083486514e-11,12,-0.8905886402478651,0.12789939506617912
2.0565123083486514e-11,13,-0.9967450415403118,0.1226438161081831
2.0565123083486514e-11,14,-0.824114988602149,0.1274838874468911
2.7825594022071258e-11,0,-0.6752164164464065,0.13562072316542742
2.7825594022071258e-11,1,-0.7909224759501972,0.12495267690153665
2.7825594022071258e-11,2,-0.8670306509726882,0.13251098607371217
2.7825594022071258e-11,3,-0.8005315926077825,0.12575376538537444
2.7825594022071258e-11,4,-0.7987989005465366,0.12368991995105393
2.7825594022071258e-11,5,-0.8249585083100357,0.12429187650898826
2.7825594022071258e-11,6,-0.7632554747324645,0.1300895204661746
2.7825594022071258e-11,7,-0.8315634478437599,0.1258737292506663
2.7825594022071258e-11,8,-0.8160079703508369,0.13257230145279916
2.7825594022071258e-11,9,-0.9178621541149505,0.11962012470328737
2.7825594022071258e-11,10,-0.9317138558867561,0.12809955426008168
2.7825594022071258e-11,11,-0.7731382758153049,0.12667485953937174
2.7825594022071258e-11,12,-0.8781105618865603,0.12824978824166602
2.7825594022071258e-11,13,-0.9895024902050855,0.1228545587150991
2.7825594022071258e-11,14,-0.8162044752059485,0.12777761127520257
3.764935806792471e-11,0,-0.6586867069011089,0.13619848764353315
3.764935806792471e-11,1,-0.7761832278329823,0.12535667042153292
3.764935806792471e-11,2,-0.8543650907624074,0.13290820117841476
3.764935806792471e-11,3,-0.7893986664303405,0.12610744672514357
3.764935806792471e-11,4,-0.7857129130787304,0.1240858416528272
3.764935806792471e-11,5,-0.8111893630736695,0.1248593633333623
3.764935806792471e-11,6,-0.7471426351077541,0.13051787847219368
3.764935806792471e-11,7,-0.8189620082279017,0.12624791166228116
3.764935806792471e-11,8,-0.8044983784444617,0.13305465734038374
3.764935806792471e-11,9,-0.9109398219127478,0.11996043398944461
3.764935806792471e-11,10,-0.9150987461321447,0.12852568277926182
3.764935806792471e-11,11,-0.7600632401244818,0.12713652321106253
3.764935806792471e-11,12,-0.8619428852965145,0.12869212854356604
3.764935806792471e-11,13,-0.979779997528472,0.12313114460855748
3.764935806792471e-11,14,-0.805630614486871,0.12815865080023858
5.094138014816386e-11,0,-0.6379853092963423,0.13691673329311793
5.094138014816386e-11,1,-0.7574100847479757,0.12587183508408833
5.094138014816386e-11,2,-0.8379292863656533,0.13340395956909998
5.094138014816386e-11,3,-0.7749093783701513,0.1265555812144461
5.094138014816386e-11,4,-0.7689503200463434,0.12457892703108013
